id,tweet,label
477,The novel coronavirus can be cured by one bowl of freshly boiled garlic.,fake
2434,At the peak in New York on April 15 that state hit 595 cases per million. Arizona (580) *and* Louisiana (568) approached that number today. https://t.co/MxvPqIC43k,real
4689,Video shows a huge crowd gathered in an American mall neglecting the social distancing during current pandemic.,fake
5106,(2/4) Containment zones that refer to a specific geographical area where positive cases of coronavirus are found are dynamic in nature. They do not fit into nationally representative sampling #IndiaFightsCOVID19,real
2635,Australian Scientists referred to coronavirus as 'US-Government Funded Bioweapon',fake
3164,With today’s five new cases our total number of active cases is 129. Of those 35 are imported cases in MIQ facilities and 94 are community cases.,real
1349,French military surrenders to coronavirus https://t.co/UDYRS1INIw,fake
3466,Video shows people behaving abnormally in China due to coronavirus.,fake
4173,We are rapidly increasing the number of frontline workers trained to respond to #COVID19 in all 36 states &amp; FCT In the last three weeks we trained over 8000 health workers focusing on infection prevention and control #TakeResponsibility https://t.co/s5RVp1vrNa,real
5120,A new @CDCMMWR report found that 121 people under 21 years of age died of #COVID19 from February–July 2020. 3 out of 4 deaths occurred among Black Hispanic and American Indian/Alaska Native persons. Learn more: https://t.co/fCxlvca0BZ. https://t.co/GY3DPiTpNw,real
5547,When shelter-in-place orders are lifted coronavirus spikes occur. @drjohnwhyte discusses this phenomenon with @colleenkraftmd @CarlosdelRio7 on #InContext. https://t.co/Rn2ipRoHkU https://t.co/8hgyzSRhpK,real
1193,A message claimed that Angel Broking has gone bankrupt as oil prices went negative due to coronavirus lockdown around the world,fake
728,"Not trying to sensationalize but Begum got infected, So did the driver. Imran Uncle did not get infected!",fake
3317,"Everyone should stock up essentials such as milk, ration, medicines, and cash as India is soon going to declare national emergency.",fake
4093,5G technology is responsible for the increasing number of deaths from COVID-19.,fake
6366,Getting Texas antigen test results into public view has been a tangled process and we’re very glad to see them. The @houstonchron reported on the whole story last weekend: https://t.co/aZL1Yt1QPF,real
4261,NEWS! Government upgrade coronavirus panic recommendation from ‘Moderate’ to ‘High’ https://t.co/C7cGwMidTw https://t.co/OyC0GfoXMf,fake
3756,TODAY at 2:30pm ET: Join @drsanjaygupta @AngieHolan and @AlexMahadevan on Facebook Live where they'll discuss COVID-19 misinformation and answer your questions. https://t.co/zSH1XfZE5Y https://t.co/2viMPDE39d,fake
1426,Trump administration plans to stop COVID screening foreign travelers arriving from high risk areas over concerns about efficiency &amp; effectiveness. These screenings often cause overcrowding and long lines while only detecting a few cases. Read more: @CNN https://t.co/ha7dSsglw0,real
4477,The latest CDC #COVIDView report shows the percentage of deaths attributed to #COVID19 increased between June 27 and July 11. This is the first multi-week increase reported since mid-April. However this indicator has since been on the decline: https://t.co/zP4VYlo0Pb. https://t.co/2NkjL2sebF,real
2837,NEWS! Boris Johnson proposes ‘moonshot’ plan to defeat Covid using Jedi space magic https://t.co/7pspGdZajb https://t.co/AkUhSRYl4K,fake
5934,Buddhist Smugly Reflects that at Least He Has the Present Moment https://t.co/73WjL0I2Bd #life #coronavirus #nashville #buddhism,fake
46,#IndiaFightsCorona New Recoveries in India have exceeded the New Cases for 5 consecutive days. #COVID19 https://t.co/IWV0Eym3HD,real
2673,RT @Surgeon_General: Are you using #HandSanitizer? Make sure yours doesn’t contain #Methanol which can be toxic when absorbed through the…,real
4601,A video shows that the United States armed forces have entered New York City as the precaution against riots which once happened during the blackout in 1977.,fake
358,Govt is providing money to bereaved families of COVID-19 victims.,fake
2931,RT @drharshvardhan: I lauded @DRDO_India for building make-shift hospitals with a capacity of 1000 patients &amp; an additional 100 #ICU beds…,real
3077,📢#CoronaVirusUpdates: 📍#COVID19 India Tracker (As on 11 September 2020 08:00 AM) ➡️Confirmed cases: 4562414 ➡️Recovered: 3542663 (77.6%)👍 ➡️Active cases: 943480 (20.7%) ➡️Deaths: 76271 (1.7%) #IndiaFightsCorona #IndiaWillWin #StaySafe Via @MoHFW_INDIA https://t.co/EVR0Y6xi7B,real
6012,Rex The Wonder Dog To Join Trump's White House Coronavirus Task Force https://t.co/fPdDlk2Kb4 #donaldtrump #coronavirus #johnwayne,fake
1448,195 new cases of #COVID19Nigeria; Enugu-51 Gombe-40 Lagos-39 Plateau-23 FCT-15 Rivers-12 Kaduna-8 Ondo-3 Bauchi-2 Edo-1 Ogun-1 57437 confirmed 48674 discharged 1100 deaths https://t.co/3xxxQZen55,real
1894,#CoronaVirusUpdates Mortality analysis: Age-wise: -50% deaths belong to 60 years and above age group. -37% deaths belong to 45-60 years age group. -11% deaths belong to 26-44 years age group. Gender-wise: -68% deaths were among men. -32% deaths were among women. https://t.co/unj31Uemeh,real
5491,#CoronaVirusUpdates: State-wise details of Total Confirmed #COVID19 cases(till 12 September 2020 08:00 AM) ➡️States with 1-15000 confirmed cases ➡️States with 15001-100000 confirmed cases ➡️States with 100000+ confirmed cases ➡️Total no. of confirmed cases so far https://t.co/LR066ba41j,real
5395,Coronavirus: Health Secretary Matt Hancock warns of more restrictive measures as UK 'faces a tipping point' https://t.co/H8tD46oRi5,real
3366,"FIRST CITY IN THE WORLD CONQUERS COVID-19 WITH CHLORINE DIOXIDE. MAYOR OF AUTONOMOUS CITY SAN JOSE, BOLIVIA TAKES BRAVE STEP IN USING CHLORINE DIOXIDE FIRST ON HIMSELF TO CURE AND THEN THE WHOLE CITY - MAYOR GERMAIN - A HERO!
https://t.co/Xv0R8g2IUL https://t.co/nBEoP88Rcw",fake
1893,Our daily update is published. We’ve tracked a total of 1149960 tests up ~100k from yesterday. Note that we can only track tests that a state reports. And not all states report all negative tests. For details see: https://t.co/PZrmH4bl5Y https://t.co/zUMkCFPvpK,real
6272,Thirty-four new cases of #COVID19 have been reported as follows: 18 Lagos 12 in Kano 2 in Katsina 1 in Delta 1 in Niger As at 11:20 pm 15th April there are 407 confirmed cases of #COVID19 reported in Nigeria. 128 have been discharged with 12 deaths #TakeResponsibility https://t.co/oxM9pVb9QQ,real
4326,Our daily update is published. Mondays are now the day where the weekend lag shows up most acutely. States reported 735K tests 58K cases and 365 deaths (last Monday: 327). https://t.co/kprzMhy5Pp,real
4116,Trump faints is infected with coronavirus.,fake
3201,NEWS! EU threatens to expel the UK unless parliament is reopened https://t.co/29b5VFAnB5 https://t.co/i5IFVTtnF9,fake
3045,"@MsRightMsRight @CedarCourtHotel @freenationtoday @Nigel_Farage @LeeHurstComic Illegal immigration is happening worldwide, engineered by all UN member nations to distract attention away from the real issues - Totalitarianism, the fake pandemic and the total removal of human rights in the development of mass democide and a #NewWorldOrder

Don't be distracted",fake
2311,Intensive care units are either full or about to reach saturation. More bed capacity is desperately needed but staffing is an issue @skynewsmichelle witnesses the impact a second wave of #COVID19 is having in Marseille https://t.co/7X1Dzibi8k,real
3533,"Netflix’s “Are You Still Watching” only social contact in days

https://t.co/9HuxTFm3IN #covid19 #CoronaVirusCanada https://t.co/gbm6COdWlB",fake
200,NEWS! Anti-vaxxers close to deciding which medical conditions they will pretend are caused by Coronavirus vaccine https://t.co/daWxNYpj86 https://t.co/eNvXR50ByR,fake
3857,#IndiaFightsCorona 5 States account for 60% of Total Active cases in the country. https://t.co/287csbzTpV,real
5688,Our combined total of confirmed and probable cases remains at 1504.⁣ ⁣ The number of recovered cases is now 1482.⁣ There are no additional deaths to report.⁣ ⁣ There is no one in New Zealand receiving hospital-level care for COVID-19.⁣ ⁣,real
1466,We generated as complete a report as could comparing the CDC data with the numbers we compile from the states themselves. https://t.co/euC0pIKyXH,real
3336,U.S. House Speaker Nancy Pelosi was in Wuhan China six days after the impeachment proceedings against President Trump ended.,fake
6248,NEWS! 2020 sees 2019’s Covid-19 and raises it Bubonic Plague https://t.co/aciWLrY8uJ https://t.co/P0xzrR8sib,fake
4911,RT @US_FDA: If you’ve fully recovered from #COVID19 you may be able to donate plasma to help others. You must have complete resolution of…,real
5207,"all family members has died infected by corona virus😧

my heart is just...😢i cannot say",fake
2347,"Trump’s Coronavirus Vaccine Is Coming, Uh Huh, Like His Tax Returns https://t.co/hNuCnsIZQr #coronavirusvaccine",fake
4383,SPECIAL REPORT! We could lift the lockdown today if everyone agrees to drive bumper cars all the time https://t.co/Vul1m40JlH https://t.co/Uu1K74IhIk,fake
2408,Cocaine cures COVID-19.,fake
2483,“The #COVID19 outbreak presents an opportunity to put infection prevention &amp; control(IPC) on the national agenda like never before. Our goal through the ‘#OrangeNetwork’ is to ensure IPC is an essential part of health care delivery &amp; public health response” ~ @Chikwe_I DG NCDC https://t.co/kV9I8bE2dW,real
2469,???Go to 2020census.gov and fill out this census form so you can get your stimulus check.??�,fake
